,n_gram_size,assembled_sentence,sentence
1061,3,kDOMImplementationCID,k DOMImplementation CID
1062,4,kFirstDirSize,k First Dir Size
1063,3,kIDataFlavor,k IData Flavor
1064,5,kInitSavePageDelay,k Init Save Page Delay
1065,5,kInputStreamChannelCID,k Input Stream Channel CID
1066,5,kMsgAccountManagerCID,k Msg Account Manager CID
1067,3,kNC_Description,k NC Description
1068,3,kSqrChar,k Sqr Char
1069,2,kTelugu,k Telugu
1070,1,kaboom,kaboom
1071,5,keaParams.originatorKEAKey.len,kea Params originator KEAKey len
1072,2,key_derive,key derive
1073,3,keysToDelete,keys To Delete
1074,1,keytext,keytext
1075,1,kmap,kmap
1076,3,lad_fs.total,lad fs total
1077,2,langKannada,lang Kannada
1078,2,langTagalog,lang Tagalog
1079,2,lang_list,lang list
1080,4,lastStartPosMatch,last Start Pos Match
1081,3,lastTimeTick,last Time Tick
1082,2,lblCounter,lbl Counter
1083,3,lcpFragmentId,lcp Fragment Id
1084,3,lcpPtr.i,lcp Ptr i
1085,4,ldap_err2string,ldap err 2 string
1086,1,leitchdev,leitchdev
1087,2,lft_rb,lft rb
1088,1,libjava,libjava
1089,1,linktooltip,linktooltip
1090,1,lis,lis
1091,3,lister_print_horizontal,lister print horizontal
1092,5,localQDefaultTriggerMsgPriority,local QDefault Trigger Msg Priority
1093,3,local_freed_mem,local freed mem
1094,3,logBlendFunc,log Blend Func
1095,3,loginTabPane,login Tab Pane
1096,2,logval_status,logval status
1097,1,loopinfo,loopinfo
1098,1,lowbits,lowbits
1099,3,lpc10.dec,lpc 10 dec
1100,5,lsa_io_r_lookup_names,lsa io r lookup names
1101,6,lsa_io_r_query_info2,lsa io r query info 2
1102,3,lum_green_weight,lum green weight
1103,2,lunch_defendj,lunch defendj
1104,3,mBackgroundYPosition,m Background YPosition
1105,4,mComputedMinWidth,m Computed Min Width
1106,4,mDefaultNamespaceID,m Default Namespace ID
1107,4,mDeque.mSize,m Deque m Size
1108,3,mHTMLBindingStr,m HTMLBinding Str
1109,3,mLenBuf,m Len Buf
1110,5,mMozAreaClosestParent,m Moz Area Closest Parent
1111,4,mMozWindowWidget,m Moz Window Widget
1112,2,mNKeys,m NKeys
1113,3,mNumItems,m Num Items
1114,2,mPACURL,m PACURL
1115,4,mPath.mLen,m Path m Len
1116,3,mPropertyCount,m Property Count
1117,5,mReqUploadStreamLength,m Req Upload Stream Length
1118,5,mSpec.vRefNum,m Spec v Ref Num
1119,3,mStartCData,m Start CData
1120,3,mSubType,m Sub Type
1121,6,mTargetSpec.vRefNum,m Target Spec v Ref Num
1122,3,mWyciwygChannel,m Wyciwyg Channel
1123,9,m_MarginHeaderFooterTab.m_HeaderRightText,m Margin Header Footer Tab m Header Right Text
1124,6,m_ToolTip.m_hWnd,m Tool Tip m h Wnd
1125,3,m_bGPLEvildoer,m b GPLEvildoer
1126,2,m_bircsoundevents,m bircsoundevents
1127,4,m_charCommonMax,m char Common Max
1128,5,m_crSelectedTextColor,m cr Selected Text Color
1129,5,m_csBtn1Text,m cs Btn 1 Text
1130,5,m_ctrlUpdateServerFrm,m ctrl Update Server Frm
1131,5,m_firstExecutedScanOp,m first Executed Scan Op
1132,5,m_iMaxChatHistory,m i Max Chat History
1133,5,m_iSentMoreReq,m i Sent More Req
1134,2,m_mozstatus,m mozstatus
1135,3,m_namespaceSupport,m namespace Support
1136,3,m_nsCard,m ns Card
1137,4,m_originalPhysicalUri,m original Physical Uri
1138,5,m_pfn_qglCallLists,m pfn qgl Call Lists
1139,7,m_pfn_qglTexCoord2f,m pfn qgl Tex Coord 2 f
1140,4,m_pk2len,m pk 2 len
1141,4,m_preSetItem,m pre Set Item
1142,4,m_sLDAPSearchBase,m s LDAPSearch Base
1143,7,m_sizeHdrImgListIcon.cy,m size Hdr Img List Icon cy
1144,3,m_strHost,m str Host
1145,3,m_wndEvents,m wnd Events
1146,2,mac_error,mac error
1147,3,makeConnectString,make Connect String
1148,3,makeSvgFile,make Svg File
1149,3,make_const_array,make const array
1150,2,mapFriend,map Friend
1151,5,mappedUiString.autoSurround,mapped Ui String auto Surround
1152,2,marshalledRegs,marshalled Regs
1153,3,mask.ccolor.pattern,mask ccolor pattern
1154,4,max.setLongValue,max set Long Value
1155,5,maxLeafToRootPath,max Leaf To Root Path
1156,2,max_label,max label
1157,2,max_portals,max portals
1158,1,maxdy,maxdy
1159,4,maybe_cc0_setter,maybe cc 0 setter
1160,2,maybepermanent_obstack,maybepermanent obstack
1161,3,md.waiter_sem,md waiter sem
1162,2,mdef.operation,mdef operation
1163,6,mdia.minf.stbl.stsz.sample_size,mdia minf stbl stsz sample size
1164,4,mec.dwSampleRate,mec dw Sample Rate
1165,4,mechanism.ulParameterLen,mechanism ul Parameter Len
1166,2,memPercent,mem Percent
1167,4,menu_open_new_cb,menu open new cb
1168,1,menuitem,menuitem
1169,5,messageCtchar.getValueLength,message Ctchar get Value Length
1170,3,metaKeyArg,meta Key Arg
1171,2,mgcp_reload,mgcp reload
1172,3,mgr_next_row,mgr next row
1173,3,minResidualCapacity,min Residual Capacity
1174,1,minplayers,minplayers
1175,2,mixmonitor_flags,mixmonitor flags
1176,3,mng_ani_trnsp,mng ani trnsp
1177,6,mng_display_rgb8_a8,mng display rgb 8 a 8
1178,3,mng_magnify_y,mng magnify y
1179,2,mng_processsave,mng processsave
1180,5,mng_store_jpeg_ga8,mng store jpeg ga 8
1181,3,mod.mod_op,mod mod op
1182,2,moduleDir,module Dir
1183,4,morkCh_kN,mork Ch k N
1184,4,morkMagic_kThumb,mork Magic k Thumb
1185,2,morseCoder,morse Coder
1186,6,mp4ff_get_track_type,mp 4 ff get track type
1187,4,mpeg3_aa_cs,mpeg 3 aa cs
1188,5,mpeg3demux_movie_size,mpeg 3 demux movie size
1189,2,mpeg_quant,mpeg quant
1190,2,mpegts_demux,mpegts demux
1191,4,mprLogPagePtr,mpr Log Page Ptr
1192,4,mq_mess.PROC_NR,mq mess PROC NR
1193,2,msgChunk,msg Chunk
1194,5,msgIsInLocalCache,msg Is In Local Cache
1195,1,msgwin,msgwin
1196,1,mtcm,mtcm
1197,4,mutation.mAttrName,mutation m Attr Name
1198,4,myDialog.m_flagvalue,my Dialog m flagvalue
1199,3,myPDayAL,my PDay AL
1200,2,mysql_kill,mysql kill
1201,3,naarani.Design.Table,naarani Design Table
1202,3,nativeFolderName,native Folder Name
1203,3,naturalLogBase,natural Log Base
1204,3,nbrTableCols,nbr Table Cols
1205,3,ndbcluster_find_files,ndbcluster find files
1206,2,negative_ok,negative ok
1207,5,net.matuschek.util.ByteBuffer,net matuschek util Byte Buffer
1208,4,net.sf.fixtag.app,net sf fixtag app
1209,6,net.sourceforge.barbecue.env.HeadlessEnvironment,net sourceforge barbecue env Headless Environment
1210,6,net.sourceforge.island.authentication.AuthenticationException,net sourceforge island authentication Authentication Exception
1211,5,net.sourceforge.jt673.joules,net sourceforge jt 673 joules
1212,8,net.sourceforge.ojb2hbm.OJB2Hbm,net sourceforge ojb 2 hbm OJB 2 Hbm
1213,5,networkOptionsInfo.display.string,network Options Info display string
1214,3,newChemBond,new Chem Bond
1215,2,newCirc,new Circ
1216,3,newExtnValue,new Extn Value
1217,4,newInsertPosRect,new Insert Pos Rect
1218,4,newStreamFilterAction,new Stream Filter Action
1219,1,newlnf,newlnf
1220,7,nextProcessPsn.lowLongOfPSN,next Process Psn low Long Of PSN
1221,1,nextfield,nextfield
1222,1,nextfreeoverrec,nextfreeoverrec
1223,3,nfCompRep,nf Comp Rep
1224,1,nmemb,nmemb
1225,4,nodestateUnits.addElement,nodestate Units add Element
1226,1,nodevalues,nodevalues
1227,2,notQButton,not QButton
1228,1,npos,npos
1229,3,nr_AppendDesc,nr Append Desc
1230,3,nsAString::char_type,ns AString::char type
1231,4,nsCSSValueListSH,ns CSSValue List SH
1232,5,nsCaseConversionImp2,ns Case Conversion Imp 2
1233,5,nsCopyFileMessageType,ns Copy File Message Type
1234,3,nsDOMEventGroup,ns DOMEvent Group
1235,6,nsDeviceContextSpecFactoryMac,ns Device Context Spec Factory Mac
1236,3,nsDocumentType,ns Document Type
1237,4,nsDrawingSurfacePh,ns Drawing Surface Ph
1238,4,nsFontGTKUserDefined,ns Font GTKUser Defined
1239,3,nsHTMLOListElement,ns HTMLOList Element
1240,3,nsIAbView,ns IAb View
1241,3,nsIAboutModule,ns IAbout Module
1242,3,nsILocaleFactory,ns ILocale Factory
1243,4,nsINativeComponentLoader,ns INative Component Loader
1244,2,nsIXPTLoader,ns IXPTLoader
1245,6,nsImapOfflineToOnlineCopy,ns Imap Offline To Online Copy
1246,5,nsKeyPairInfoStr,ns Key Pair Info Str
1247,2,nsLDAPSSLConnect,ns LDAPSSLConnect
1248,4,nsMathMLmoverFrame,ns Math MLmover Frame
1249,4,nsMdbTableEnumerator,ns Mdb Table Enumerator
1250,3,nsMouseMove,ns Mouse Move
1251,6,nsMsgAccountManagerDataSource,ns Msg Account Manager Data Source
1252,5,nsPasteNoFormattingCommand,ns Paste No Formatting Command
1253,4,nsSOCKSIOLayerAcceptRead,ns SOCKSIOLayer Accept Read
1254,4,nsSelectionCommandsBase,ns Selection Commands Base
1255,6,nsSharableString::shared_buffer_handle_type,ns Sharable String::shared buffer handle type
1256,6,nsSingleSignOnProfileObserver,ns Single Sign On Profile Observer
1257,4,nsUnicharStreamLoader,ns Unichar Stream Loader
1258,6,nsUnicodeToBIG5HKSCSConstructor,ns Unicode To BIG 5 HKSCSConstructor
1259,7,nsUnicodeToBIG5NoAscii,ns Unicode To BIG 5 No Ascii
1260,3,nsVoidBTree::Path,ns Void BTree::Path
1261,3,nsXULTabAccessible,ns XULTab Accessible
1262,3,nsldapi_close_connection,nsldapi close connection
1263,1,nsocks,nsocks
1264,1,nss,nss
1265,7,nssCryptoContext_FindCertificatesBySubject,nss Crypto Context Find Certificates By Subject
1266,4,nssPKIXAttribute_SetType,nss PKIXAttribute Set Type
1267,1,ntriangoli,ntriangoli
1268,1,ntv,ntv
1269,4,numOfRootChoreos,num Of Root Choreos
1270,3,numTargetTables,num Target Tables
1271,2,num_deaths,num deaths
1272,3,num_fixed_sizes,num fixed sizes
1273,2,num_syncword,num syncword
1274,3,o.f_stringarray,o f stringarray
1275,4,oDontFeedMe,o Dont Feed Me
1276,2,oWPUB,o WPUB
1277,1,objectcontact,objectcontact
1278,1,obproxyfound,obproxyfound
1279,2,og.header,og header
1280,2,ogg_iformat,ogg iformat
1281,3,oldMsgId,old Msg Id
1282,5,oldPosOnCurrentLine,old Pos On Current Line
1283,5,oldTrashNameUtf7,old Trash Name Utf 7
1284,8,oldportal.objectbuilder.document.cpp.editors.ClassMethodPanel,oldportal objectbuilder document cpp editors Class Method Panel
1285,1,omodes,omodes
1286,2,one_fn,one fn
1287,2,opArguments,op Arguments
1288,3,opLocalClock,op Local Clock
1289,3,opcode_function_new,opcode function new
1290,1,openb,openb
1291,3,openwfe.org.net,openwfe org net
1292,3,opt_BinaryDER,opt Binary DER
1293,4,ordre.forcePropulseurArriere,ordre force Propulseur Arriere
1294,1,oreq,oreq
1295,1,orfs,orfs
1296,3,org.amberarcher.os,org amberarcher os
1297,8,org.apache.poi.hssf.usermodel.TestCellStyle,org apache poi hssf usermodel Test Cell Style
1298,7,org.apache.slide.common.ServiceAccessException,org apache slide common Service Access Exception
1299,7,org.apache.tools.ant.taskdefs.condition.Http,org apache tools ant taskdefs condition Http
1300,7,org.apache.turbine.flux.modules.actions.group,org apache turbine flux modules actions group
1301,5,org.bouncycastle.asn1.DERBoolean,org bouncycastle asn 1 DERBoolean
1302,6,org.bouncycastle.crypto.engines.NullEngine,org bouncycastle crypto engines Null Engine
1303,8,org.bouncycastle.jce.cert.PKIXCertPathValidatorResult,org bouncycastle jce cert PKIXCert Path Validator Result
1304,7,org.centricware.storage.controller.guide.MenuController,org centricware storage controller guide Menu Controller
1305,7,org.columba.calendar.config.api.ICalendarList,org columba calendar config api ICalendar List
1306,5,org.dancres.blitz.remote.debug,org dancres blitz remote debug
1307,5,org.dellroad.jc.cgen.analysis,org dellroad jc cgen analysis
1308,5,org.eclipse.jdt.core.IParent,org eclipse jdt core IParent
1309,4,org.emulinker.kaillera.pico,org emulinker kaillera pico
1310,3,org.htmlencoder.factory,org htmlencoder factory
1311,4,org.hyperic.hq.auth,org hyperic hq auth
1312,5,org.imemex.componentmappings.content.fsreplica,org imemex componentmappings content fsreplica
1313,6,org.jamocha.gui.tab.FunctionsPanel,org jamocha gui tab Functions Panel
1314,9,org.jboss.virtual.plugins.vfs.helpers.SuffixesExcludeFilter,org jboss virtual plugins vfs helpers Suffixes Exclude Filter
1315,5,org.jfree.util.SortOrder,org jfree util Sort Order
1316,6,org.jruby.lexer.yacc.SourcePosition,org jruby lexer yacc Source Position
1317,7,org.jsecurity.context.factory.SecurityContextFactory,org jsecurity context factory Security Context Factory
1318,10,org.jvnet.jaxb.reflection.model.runtime.RuntimeTypeInfoSet,org jvnet jaxb reflection model runtime Runtime Type Info Set
1319,8,org.ksmsa.richDoc.bibliography.types.BibType,org ksmsa rich Doc bibliography types Bib Type
1320,12,org.mimosa.www.TechXMLV3_1.mim_5001_05.CharYN,org mimosa www Tech XMLV 3 1 mim 5001 05 Char YN
1321,5,org.opengroupware.jogi.connect.Connection,org opengroupware jogi connect Connection
1322,8,org.ourgrid.gridmachine.exception.UnableToExecuteException,org ourgrid gridmachine exception Unable To Execute Exception
1323,5,org.outerj.daisy.doctaskrunner.clientimpl,org outerj daisy doctaskrunner clientimpl
1324,10,org.pi4soa.designer.types.figures.SimpleTypeFigure,org pi 4 soa designer types figures Simple Type Figure
1325,7,org.pi4soa.service.DefaultIdentity,org pi 4 soa service Default Identity
1326,6,org.schmant.report.StdoutReportFactory,org schmant report Stdout Report Factory
1327,9,org.springframework.web.context.support.ServletContextResourceLoader,org springframework web context support Servlet Context Resource Loader
1328,5,org.touchupweb.system.UpdaterLauncher,org touchupweb system Updater Launcher
1329,5,org.umber.bellows.IDatumTransformer,org umber bellows IDatum Transformer
1330,5,org.xmlcrawler.iquery.QueryStructure,org xmlcrawler iquery Query Structure
1331,3,orgLineColor,org Line Color
1332,3,origArtOId,orig Art OId
1333,2,orig_to,orig to
1334,2,originalVartype,original Vartype
1335,5,os2.usWidthClass,os 2 us Width Class
1336,3,os_file_closedir,os file closedir
1337,4,osmsDvAlgorithmManager,osms Dv Algorithm Manager
1338,2,other_expr,other expr
1339,5,outBuf.mBuf_Fill,out Buf m Buf Fill
1340,4,outIfaceFuncImpl,out Iface Func Impl
1341,2,out_isatty,out isatty
1342,3,out_left_diff,out left diff
1343,1,outcur,outcur
1344,1,outpos,outpos
1345,2,outputOrgs,output Orgs
1346,2,ovalrect_node,ovalrect node
1347,3,p2absln,p 2 absln
1348,3,pIDispParent,p IDisp Parent
1349,4,pOdDescrProperty,p Od Descr Property
1350,3,p_cmdNumber,p cmd Number
1351,4,pac_io_krb_attrs,pac io krb attrs
1352,3,pango_coverage_new,pango coverage new
1353,4,paper_width_in_twips,paper width in twips
1354,3,param.res_length,param res length
1355,2,param.tmpdir,param tmpdir
1356,2,paramOrdinal,param Ordinal
1357,3,paramParseFile,param Parse File
1358,2,param_usage,param usage
1359,4,params.CalGrayProfile,params Cal Gray Profile
1360,2,params.def,params def
1361,3,parseDefLine,parse Def Line
1362,3,parseDocumentElement,parse Document Element
1363,5,parseIntArrayToString,parse Int Array To String
1364,3,partOutLen,part Out Len
1365,2,passoL,passo L
1366,2,passwordTemplate,password Template
1367,1,pcmret,pcmret
1368,1,pcr,pcr
1369,4,pdf14_mark_procs,pdf 14 mark procs
1370,5,pdf_font_descriptor_values_t,pdf font descriptor values t
1371,5,pharerouge.utils.InterruptableInputStream,pharerouge utils Interruptable Input Stream
1372,4,phex.xml.sax.DElement,phex xml sax DElement
1373,2,pixbufLock,pixbuf Lock
1374,2,pn_max,pn max
1375,8,pnlEsEcl_btnOutDir.setEnabled,pnl Es Ecl btn Out Dir set Enabled
1376,3,portTypeNamespace,port Type Namespace
1377,3,prFileNo,pr File No
1378,2,pr_previous,pr previous
1379,4,prec_sym_name.value,prec sym name value
1380,2,pred_ctime,pred ctime
1381,6,predict_16x16_dc_top,predict 16 x 16 dc top
1382,3,prefColorTree,pref Color Tree
1383,3,pref_saveArgs,pref save Args
1384,3,prefsData.verbose,prefs Data verbose
1385,2,presentationFacade,presentation Facade
1386,2,prevDescent,prev Descent
1387,3,prevGcpConnect,prev Gcp Connect
1388,2,prev_pos,prev pos
1389,2,previous_ch,previous ch
1390,2,primary_gid,primary gid
1391,4,printDROP_TRIG_CONF,print DROP TRIG CONF
1392,4,printPreBlockExpression,print Pre Block Expression
1393,3,print_ident_comments,print ident comments
1394,2,print_unexp,print unexp
1395,1,printdir,printdir
1396,3,process_nmb_request,process nmb request
1397,3,procnames_start_line,procnames start line
1398,2,productUPDATESQL,product UPDATESQL
1399,3,profDebutPlage,prof Debut Plage
1400,2,psFGList,ps FGList
1401,4,psf_get_filelen_fd,psf get filelen fd
1402,1,psname,psname
1403,2,pstoreDir,pstore Dir
1404,2,ptr_passwd,ptr passwd
1405,2,publicationUrl,publication Url
1406,4,pusWrappedKeyLen,pus Wrapped Key Len
1407,1,pwce,pwce
1408,3,q1_numfaces,q 1 numfaces
1409,4,qe.last_pos_said,qe last pos said
1410,5,qglMapGrid2f,qgl Map Grid 2 f
1411,3,qglTexGenfv,qgl Tex Genfv
1412,2,qpix_avg,qpix avg
1413,5,query_md_blob_data_req,query md blob data req
1414,2,questKill,quest Kill
1415,3,quicktime_edts_t,quicktime edts t
1416,3,quicktime_flush_vcodec,quicktime flush vcodec
1417,3,rCombo.bottom,r Combo bottom
1418,2,randHash,rand Hash
1419,3,randomNumberGen,random Number Gen
1420,1,rcchk_,rcchk
1421,3,rcverHostName,rcver Host Name
1422,5,readExecSrNewMbyte,read Exec Sr New Mbyte
1423,2,readVCM,read VCM
1424,2,reads_colormodel,reads colormodel
1425,2,realURI,real URI
1426,1,recordingfilename,recordingfilename
1427,3,recursiveNodeTraversal,recursive Node Traversal
1428,5,recv_max_parsed_page_no,recv max parsed page no
1429,2,redirectParent,redirect Parent
1430,2,redirectorType,redirector Type
1431,2,refHdr,ref Hdr
1432,3,refQueueInfo,ref Queue Info
1433,3,reflowReasonString,reflow Reason String
1434,3,refreshFavouritesList,refresh Favourites List
1435,4,reg.i_key_boost,reg i key boost
1436,4,reg_set_table_size,reg set table size
1437,2,register_agent,register agent
1438,2,regmove_time,regmove time
1439,1,reloadreg,reloadreg
1440,3,remote_playlist_delete,remote playlist delete
1441,6,removeBotsMenuInfo.up.width,remove Bots Menu Info up width
1442,2,resolution_opt,resolution opt
1443,2,ret_sub,ret sub
1444,1,retco,retco
1445,2,rev_increment,rev increment
1446,2,rgTop,rg Top
1447,2,rgb4,rgb 4
1448,5,rhs.mStartPageNum,rhs m Start Page Num
1449,2,rightFreedom,right Freedom
1450,2,rightPos,right Pos
1451,3,rl_editing_mode,rl editing mode
1452,1,roid,roid
1453,3,rowCopyLen,row Copy Len
1454,7,row_upd_rec_sys_fields_in_recovery,row upd rec sys fields in recovery
1455,1,rstrmbuf,rstrmbuf
1456,1,rtlname,rtlname
1457,4,run_eol_code_value,run eol code value
1458,2,runiqueId,runique Id
1459,2,rw_case,rw case
1460,3,s3mrtgspeed,s 3 mrtgspeed
1461,4,sBeginLineString,s Begin Line String
1462,3,sDB_COLUMN,s DB COLUMN
1463,5,sHTMLTagUnicodeName_img,s HTMLTag Unicode Name img
1464,4,sOS_DriveDirectory,s OS Drive Directory
1465,4,sUint16Val,s Uint 16 Val
1466,4,s_options.sound.style,s options sound style
1467,5,s_playersettings.banner.generic.y,s playersettings banner generic y
1468,5,s_signup.password.generic.type,s signup password generic type
1469,6,saga.inout.creation.CreationHandlerImpl,saga inout creation Creation Handler Impl
1470,1,sampfmt,sampfmt
1471,1,sampy,sampy
1472,1,sandcx,sandcx
1473,4,saveConfigActionPerformed,save Config Action Performed
1474,2,saveXTFRInfo,save XTFRInfo
1475,1,sball,sball
1476,6,scalar12_float32_3DNow,scalar 12 float 32 3 DNow
1477,3,scanKeyinfoFlag,scan Keyinfo Flag
1478,2,scanLocalref,scan Localref
1479,3,scattoAllaRisposta,scatto Alla Risposta
1480,3,sd.signatureAlgorithm,sd signature Algorithm
1481,13,searchInfo1.hFileInfo.ioFlFndrInfo.fdLocation.h,search Info 1 h File Info io Fl Fndr Info fd Location h
1482,3,sec_desc_size,sec desc size
1483,6,sec_pkcs12_destroy_certificate_list,sec pkcs 12 destroy certificate list
1484,4,secmodSlotDataStr,secmod Slot Data Str
1485,4,secrets_store_ldap_pw,secrets store ldap pw
1486,3,sect.sct_loyal,sect sct loyal
1487,2,sect_amt,sect amt
1488,3,sendNdbSttor,send Ndb Sttor
1489,1,servermajorversion,servermajorversion
1490,1,serverport,serverport
1491,3,serviceNameQName,service Name QName
1492,2,service_deregister,service deregister
1493,3,setActiveTarget,set Active Target
1494,3,setAffichageSide,set Affichage Side
1495,4,setAfficheDebFin,set Affiche Deb Fin
1496,3,setDisplayPicutre,set Display Picutre
1497,5,setDontBalanceTextColumns,set Dont Balance Text Columns
1498,2,setGCtrl,set GCtrl
1499,3,setImageResize,set Image Resize
1500,3,setInternalLoc,set Internal Loc
1501,4,setMemberFirstIP,set Member First IP
1502,3,setPaginableFind,set Paginable Find
1503,3,setRsrc_Name,set Rsrc Name
1504,4,setRunAttributesCB,set Run Attributes CB
1505,5,setTopLevelGroupCRID,set Top Level Group CRID
1506,4,setYAxisLabelsPos,set YAxis Labels Pos
1507,2,set_io,set io
1508,3,sfString.s,sf String s
1509,1,sfcadj,sfcadj
1510,1,sfsbhome,sfsbhome
1511,2,sha_inner,sha inner
1512,3,shared_memory_pos,shared memory pos
1513,3,ship.shp_y,ship shp y
1514,1,should,should
1515,7,si_DoDialogIfPrefIsOff,si Do Dialog If Pref Is Off
1516,3,sig_table_nelts,sig table nelts
1517,2,sincos_bf,sincos bf
1518,3,size2.cx,size 2 cx
1519,5,skel_sys_acl_get_perm,skel sys acl get perm
1520,2,skip_bottom,skip bottom
1521,4,slin_g723_ex,slin g 723 ex
1522,3,smbw_shared_fd,smbw shared fd
1523,6,smilehouse.opensyncro.pipes.component.DestinationIF,smilehouse opensyncro pipes component Destination IF
1524,4,sndCall.addr.maxlen,snd Call addr maxlen
1525,6,snd_ctl_elem_info_get_numid,snd ctl elem info get numid
1526,3,snd_interval_t,snd interval t
1527,7,snd_mixer_selem_set_capture_volume_range,snd mixer selem set capture volume range
1528,6,snd_pcm_route_ttable_entry_t,snd pcm route ttable entry t
1529,5,snd_seq_queue_timer_t,snd seq queue timer t
1530,1,snlimit,snlimit
1531,3,sock_info.remote,sock info remote
1532,4,spDocHostUIHandler,sp Doc Host UIHandler
1533,2,spawn_init,spawn init
1534,4,splitToIntArray,split To Int Array
1535,4,sqlOrderByClause,sql Order By Clause
1536,2,srcPix,src Pix
1537,3,ss.g_idx,ss g idx
1538,3,ssl_InitGather,ssl Init Gather
1539,3,ssl_socket_sendv,ssl socket sendv
1540,3,startPoint.y,start Point y
1541,3,startSimulationUpdate,start Simulation Update
1542,2,stgmedData,stgmed Data
1543,2,stockHeight,stock Height
1544,2,stopMbyte,stop Mbyte
1545,2,strIDError,str IDError
1546,2,strPoint,str Point
1547,3,str_AboutNMinutes,str About NMinutes
1548,3,stream_hc_state,stream hc state
1549,3,styleSheetFactory,style Sheet Factory
1550,2,svr.peer,svr peer
1551,3,swf_write_trailer,swf write trailer
1552,3,swingActions.LAF,swing Actions LAF
1553,2,swpOK,swp OK
1554,1,synced,synced
1555,4,sys_trust_routine_creators,sys trust routine creators
1556,3,tabSuperProfiles,tab Super Profiles
1557,2,tc_ett,tc ett
1558,2,tc_log,tc log
1559,3,tcl_LogGet,tcl Log Get
1560,3,tcp_print_conn,tcp print conn
1561,4,teardownReports.toArray,teardown Reports to Array
1562,3,tech_log_base,tech log base
1563,2,tensor_obounds,tensor obounds
1564,2,term_mm,term mm
1565,4,terraindata.headerinfo.MinimumAltitude,terraindata headerinfo Minimum Altitude
1566,7,testAverageDistancesOnFfiniteDiameterGraph,test Average Distances On Ffinite Diameter Graph
1567,9,testEnterJTableHeaderDragAndLeaveByPercentage,test Enter JTable Header Drag And Leave By Percentage
1568,5,testHeightOffsetWGS72,test Height Offset WGS 72
1569,3,testIsAnnotation,test Is Annotation
1570,6,testLoadClassesFromClasspathSorted,test Load Classes From Classpath Sorted
1571,4,testMetaDataDOM,test Meta Data DOM
1572,8,testRmiProxyFactoryBeanWithConnectIOException,test Rmi Proxy Factory Bean With Connect IOException
1573,2,testSJISEncoder,test SJISEncoder
1574,4,testSimple7b,test Simple 7 b
1575,3,testWriteFloat,test Write Float
1576,7,tests.basic.ResultSetTypesTests.suite,tests basic Result Set Types Tests suite
1577,1,textnode,textnode
1578,2,textoSuperior,texto Superior
1579,1,tfact,tfact
1580,2,tftpfolderField,tftpfolder Field
1581,2,tgeLocked,tge Locked
1582,2,tgseElementptr,tgse Elementptr
1583,4,that.global_block_size,that global block size
1584,7,theDeathDB.updateFidByPtid,the Death DB update Fid By Ptid
1585,2,theImpl,the Impl
1586,1,theend,theend
1587,1,theframed,theframed
1588,2,themepackLabel,themepack Label
1589,5,this.GL_ARB_point_parameters,this GL ARB point parameters
1590,3,this.allterms_hash,this allterms hash
1591,6,this.cbSize.setSelectedIndex,this cb Size set Selected Index
1592,3,this.checkboxArticle,this checkbox Article
1593,3,this.cmd_id,this cmd id
1594,4,this.docLangId,this doc Lang Id
1595,2,this.gcb,this gcb
1596,3,this.loginExisted,this login Existed
1597,6,this.maxNumberOfGameConnections,this max Number Of Game Connections
1598,3,this.metaTable,this meta Table
1599,5,this.referencedObjectTimestampMap,this referenced Object Timestamp Map
1600,6,this.txtPatientNumberFocusLost,this txt Patient Number Focus Lost
1601,2,this.wildcardexclude,this wildcardexclude
1602,3,tib_ptib2,tib ptib 2
1603,3,timSizeH,tim Size H
1604,1,timestarted,timestarted
1605,2,timezoneAddr,timezone Addr
1606,3,tmp.m_variant,tmp m variant
1607,4,tmpIIData.endIndex,tmp IIData end Index
1608,3,tmpLevelStep,tmp Level Step
1609,3,tmpQ.z,tmp Q z
1610,1,tmpchar,tmpchar
1611,1,tmpu,tmpu
1612,3,tnd.szTip,tnd sz Tip
1613,4,toAbortHandlingLab,to Abort Handling Lab
1614,2,todayFlexidate,today Flexidate
1615,3,toggleConditionalBreakpoint,toggle Conditional Breakpoint
1616,4,toggleMinPieceSpacing,toggle Min Piece Spacing
1617,5,tok_info.hardwareVersion.minor,tok info hardware Version minor
1618,2,tooltipEl,tooltip El
1619,4,tpltObj.getName,tplt Obj get Name
1620,2,tr_localaddr,tr localaddr
1621,2,track_num,track num
1622,7,transfer_RGB_FLOAT_to_YUV444P,transfer RGB FLOAT to YUV 444 P
1623,1,treservations,treservations
1624,1,trigname,trigname
1625,3,trlRelCon,trl Rel Con
1626,4,trx_undo_seg_create,trx undo seg create
1627,3,try_SetCought,try Set Cought
1628,2,tsscContainerptr,tssc Containerptr
1629,1,tstfillp,tstfillp
1630,1,ttx,ttx
1631,3,tupleOfTVars,tuple Of TVars
1632,2,tw.sphere,tw sphere
1633,1,twosided,twosided
1634,2,txMode,tx Mode
1635,2,txXSLTProcessor,tx XSLTProcessor
1636,2,txtMisc,txt Misc
1637,10,u.A_WhichIO.ut_in_out_put_t_1,u A Which IO ut in out put t 1
1638,3,uClientIP,u Client IP
1639,1,ubody,ubody
1640,3,uf_space_prespace,uf space prespace
1641,5,ui64TotFileSize,ui 64 Tot File Size
1642,2,uiThread,ui Thread
1643,4,ui_setOrientProc,ui set Orient Proc
